"","name","replicate","sample_id","sample_id.1","id","food_id"
"FF1_SS1",NA,NA,"FF1_SS1","FF1_SS1","FF1_SS1","FF1"
"FF1_SS2",NA,NA,"FF1_SS2","FF1_SS2","FF1_SS2","FF1"
"FF1_SS3",NA,NA,"FF1_SS3","FF1_SS3","FF1_SS3","FF1"
"FF2_SS1",NA,NA,"FF2_SS1","FF2_SS1","FF2_SS1","FF2"
"FF2_SS2",NA,NA,"FF2_SS2","FF2_SS2","FF2_SS2","FF2"
"FF2_SS3",NA,NA,"FF2_SS3","FF2_SS3","FF2_SS3","FF2"
"FF3_SS1",NA,NA,"FF3_SS1","FF3_SS1","FF3_SS1","FF3"
"FF3_SS2",NA,NA,"FF3_SS2","FF3_SS2","FF3_SS2","FF3"
"FF3_SS3",NA,NA,"FF3_SS3","FF3_SS3","FF3_SS3","FF3"
"FF4_SS1",NA,NA,"FF4_SS1","FF4_SS1","FF4_SS1","FF4"
"FF4_SS2",NA,NA,"FF4_SS2","FF4_SS2","FF4_SS2","FF4"
"FF4_SS3",NA,NA,"FF4_SS3","FF4_SS3","FF4_SS3","FF4"
"FF5_SS1","FF5_SS1_R3","3","FF5_SS1","FF5_SS1","FF5_SS1","FF5"
"FF5_SS2",NA,NA,"FF5_SS2","FF5_SS2","FF5_SS2","FF5"
"FF5_SS3",NA,NA,"FF5_SS3","FF5_SS3","FF5_SS3","FF5"
"FF6_SS1",NA,NA,"FF6_SS1","FF6_SS1","FF6_SS1","FF6"
"FF6_SS2",NA,NA,"FF6_SS2","FF6_SS2","FF6_SS2","FF6"
"FF6_SS3",NA,NA,"FF6_SS3","FF6_SS3","FF6_SS3","FF6"
"FF7_SS1",NA,NA,"FF7_SS1","FF7_SS1","FF7_SS1","FF7"
"FF7_SS2",NA,NA,"FF7_SS2","FF7_SS2","FF7_SS2","FF7"
"FF7_SS3",NA,NA,"FF7_SS3","FF7_SS3","FF7_SS3","FF7"
"FF8_SS1",NA,NA,"FF8_SS1","FF8_SS1","FF8_SS1","FF8"
"FF8_SS2",NA,NA,"FF8_SS2","FF8_SS2","FF8_SS2","FF8"
"FF8_SS3",NA,NA,"FF8_SS3","FF8_SS3","FF8_SS3","FF8"
