sample_id,Food_Object_ID,SubSample_ID,Contains,Details
FF1_SS1,FF1,SS1,Betula,
FF1_SS2,FF1,SS2,Betula,
FF1_SS3,FF1,SS3,Betula,
FF2_SS1,FF2,SS1,Pellets,Batch number 13543
FF2_SS2,FF2,SS2,Pellets,Batch number 13543
FF2_SS3,FF2,SS3,Pellets,Batch number 13543
FF3_SS1,FF3,SS1,Pellets,9/10. From feeding tray
FF3_SS2,FF3,SS2,Pellets,9/10. From feeding tray
FF3_SS3,FF3,SS3,Pellets,9/10. From feeding tray
FF4_SS1,FF4,SS1,Pellets,10/10. From feeding tray
FF4_SS2,FF4,SS2,Pellets,10/10. From feeding tray
FF4_SS3,FF4,SS3,Pellets,10/10. From feeding tray
FF5_SS1,FF5,SS1,Pellets,12/10. From feeding tray
FF5_SS2,FF5,SS2,Pellets,12/10. From feeding tray
FF5_SS3,FF5,SS3,Pellets,12/10. From feeding tray
FF6_SS1,FF6,SS1,Cladonia Stellaris,
FF6_SS2,FF6,SS2,Cladonia Stellaris,
FF6_SS3,FF6,SS3,Cladonia Stellaris,
FF7_SS1,FF7,SS1,Pellets,Batch number 13541
FF7_SS2,FF7,SS2,Pellets,Batch number 13541
FF7_SS3,FF7,SS3,Pellets,Batch number 13541
FF8_SS1,FF8,SS1,Lichen_E1,
FF8_SS2,FF8,SS2,Lichen_E1,
FF8_SS3,FF8,SS3,Lichen_E1,
